iter	RMSE
0	9.442225636
1	9.339075198
2	9.18469335
3	9.069884681
4	8.956511121
5	8.809504767
6	8.665972596
7	8.525849883
8	8.397866164
9	8.292892835
10	8.160187295
11	8.030672763
12	7.930289352
13	7.831160734
14	7.733271223
15	7.618175261
16	7.522948069
17	7.428911217
18	7.329687586
19	7.220911533
20	7.114091105
21	7.025164965
22	6.937350402
23	6.83505554
24	6.757063269
25	6.65212796
26	6.549765632
27	6.46789356
28	6.38704489
29	6.293631883
30	6.20189485
31	6.124371163
32	6.031591161
33	5.95619627
34	5.869957159
35	5.785263889
36	5.712948089
37	5.638545436
38	5.557467912
39	5.487999562
40	5.407069819
41	5.343537967
42	5.276743741
43	5.210784443
44	5.145649637
45	5.081329015
46	5.008698938
47	4.937369437
48	4.875652319
49	4.806475441
50	4.746394497
51	4.690478501
52	4.624099571
53	4.558908194
54	4.50192184
55	4.438696886
56	4.383213174
57	4.321895171
58	4.267871481
59	4.214523087
60	4.161841547
61	4.112599799
62	4.0611923
63	4.004532453
64	3.954475797
65	3.905044849
66	3.856231787
67	3.808028889
68	3.760428528
69	3.71342317
70	3.66700538
71	3.621167812
72	3.575903214
73	3.531204423
74	3.487064367
75	3.443476062
76	3.40043261
77	3.357927202
78	3.315953111
79	3.274503697
80	3.2335724
81	3.193152744
82	3.153238334
83	3.113822855
84	3.074900068
85	3.036463817
86	2.998508019
87	2.961026668
88	2.924013834
89	2.887463661
90	2.851370364
91	2.815728234
92	2.780531631
93	2.745774985
94	2.711452797
95	2.677559637
96	2.644090141
97	2.611039013
98	2.578401025
99	2.546171012
100	2.514343874
101	2.482914575
102	2.451878142
103	2.421229665
104	2.390964294
105	2.36107724
106	2.331563774
107	2.302419226
108	2.273638985
109	2.245218498
110	2.217153266
111	2.18943885
112	2.162070864
113	2.135044977
114	2.108356915
115	2.082002453
116	2.055977422
117	2.030277704
118	2.004899232
119	1.979837991
120	1.955090016
121	1.930651391
122	1.906518248
123	1.882686769
124	1.859153184
125	1.835913769
126	1.812964847
127	1.790302786
128	1.767924001
129	1.74582495
130	1.724002138
131	1.702452111
132	1.681171459
133	1.660156816
134	1.639404855
135	1.618912294
136	1.59867589
137	1.578692441
138	1.558958786
139	1.539471801
140	1.520228403
141	1.501225547
142	1.482460228
143	1.463929475
144	1.445630356
145	1.427559976
146	1.409715476
147	1.392094033
148	1.374692857
149	1.357509196
150	1.340540331
151	1.323783576
152	1.307236281
153	1.290895828
154	1.27475963
155	1.258825134
156	1.24308982
157	1.227551197
158	1.212206806
159	1.197054221
160	1.182091043
161	1.167314905
162	1.152723468
163	1.138314425
164	1.124085494
165	1.110034425
166	1.096158995
167	1.082457007
168	1.068926294
169	1.055564715
170	1.042370156
171	1.029340529
172	1.016473772
173	1.00376785
174	0.9912207517
175	0.9788304921
176	0.9665951108
177	0.9545126717
178	0.9425812632
179	0.9307989972
180	0.9191640096
181	0.9076744593
182	0.8963285284
183	0.8851244216
184	0.8740603662
185	0.8631346114
186	0.8523454286
187	0.8416911106
188	0.8311699716
189	0.8207803468
190	0.8105205923
191	0.8003890847
192	0.790384221
193	0.7805044181
194	0.7707481127
195	0.7611137612
196	0.751599839
197	0.7422048409
198	0.7329272802
199	0.7237656891
