iter	Passed	Remaining
0	0	65
1	0	57
2	0	57
3	1	57
4	1	57
5	1	54
6	1	51
7	2	49
8	2	49
9	2	49
10	2	47
11	2	46
12	3	46
13	3	46
14	3	46
15	4	46
16	4	46
17	5	53
18	5	52
19	5	51
20	5	51
21	6	50
22	6	50
23	6	49
24	7	49
25	7	48
26	7	47
27	7	47
28	7	46
29	8	46
30	8	45
31	8	45
32	8	44
33	9	44
34	9	44
35	9	43
36	9	43
37	10	43
38	10	42
39	10	42
40	10	41
41	11	41
42	11	41
43	11	41
44	11	40
45	12	40
46	12	40
47	12	39
48	12	39
49	13	39
50	13	39
51	13	39
52	13	38
53	14	38
54	14	38
55	14	37
56	14	37
57	15	37
58	15	37
59	15	36
60	16	36
61	16	36
62	16	35
63	16	35
64	17	35
65	17	35
66	17	35
67	18	35
68	18	34
69	18	34
70	18	34
71	19	34
72	19	33
73	19	33
74	20	33
75	20	33
76	20	32
77	20	32
78	21	32
79	21	32
80	21	31
81	21	31
82	22	31
83	22	30
84	22	30
85	22	30
86	23	30
87	23	29
88	23	29
89	24	29
90	24	29
91	24	28
92	24	28
93	25	28
94	25	28
95	25	27
96	25	27
97	26	27
98	26	27
99	26	26
100	27	26
101	27	26
102	27	26
103	27	25
104	28	25
105	28	25
106	28	24
107	29	24
108	29	24
109	29	24
110	29	24
111	30	23
112	30	23
113	30	23
114	31	22
115	31	22
116	31	22
117	31	22
118	32	21
119	32	21
120	32	21
121	33	21
122	33	20
123	33	20
124	33	20
125	34	20
126	34	19
127	34	19
128	34	19
129	35	18
130	35	18
131	35	18
132	36	18
133	36	17
134	36	17
135	36	17
136	37	17
137	37	16
138	37	16
139	37	16
140	38	16
141	38	15
142	38	15
143	39	15
144	39	14
145	39	14
146	39	14
147	40	14
148	40	13
149	40	13
150	40	13
151	41	13
152	41	12
153	41	12
154	42	12
155	42	11
156	42	11
157	43	11
158	43	11
159	43	10
160	43	10
161	44	10
162	44	10
163	44	9
164	45	9
165	45	9
166	45	9
167	45	8
168	46	8
169	46	8
170	46	7
171	46	7
172	47	7
173	47	7
174	47	6
175	48	6
176	48	6
177	48	6
178	48	5
179	49	5
180	49	5
181	49	4
182	49	4
183	50	4
184	50	4
185	50	3
186	51	3
187	51	3
188	51	3
189	51	2
190	52	2
191	52	2
192	52	1
193	53	1
194	53	1
195	53	1
196	53	0
197	54	0
198	54	0
199	54	0
