2025-12-03 15:22:15,587 | INFO | promo_ml | Logging successfully configured.
2025-12-03 15:22:15,588 | INFO | promo_ml | Application starting up...
2025-12-03 15:22:35,791 | INFO | promo_ml | Application shutting down...
2025-12-03 15:22:37,086 | INFO | promo_ml | Logging successfully configured.
2025-12-03 15:22:37,087 | INFO | promo_ml | Application starting up...
2025-12-03 15:25:40,144 | INFO | promo_ml | Application shutting down...
2025-12-03 15:40:09,147 | INFO | promo_ml | Logging successfully configured.
2025-12-03 15:40:09,147 | INFO | promo_ml | Application starting up...
2025-12-03 15:41:52,764 | INFO | promo_ml | Application shutting down...
2025-12-03 15:41:54,092 | INFO | promo_ml | Logging successfully configured.
2025-12-03 15:41:54,094 | INFO | promo_ml | Application starting up...
2025-12-03 15:47:26,608 | INFO | promo_ml | Application shutting down...
